"Campo","Tipo","Descrição"
"Data","",""
"Humor (1-5)","","Avalie de 1 (muito baixo) a 5 (muito alto)"
"Foco do dia","","Frase curta (ex.: Finalizar apresentação)"
"Top 3 prioridades","Checklist",""
"Prioridade 1","Tarefa",""
"Prioridade 1 - Tempo (min)","Número",""
"Prioridade 1 - Status","Dropdown","Pendente, Em andamento, Concluído"
"Prioridade 2","Tarefa",""
"Prioridade 2 - Tempo (min)","Número",""
"Prioridade 2 - Status","Dropdown","Pendente, Em andamento, Concluído"
"Prioridade 3","Tarefa",""
"Prioridade 3 - Tempo (min)","Número",""
"Prioridade 3 - Status","Dropdown","Pendente, Em andamento, Concluído"
"Tarefas rápidas (<10 min)","Lista",""
"Bloco de tempo 1","Horário",""
"Bloco de tempo 1 - Atividade","Texto",""
"Bloco de tempo 2","Horário",""
"Bloco de tempo 2 - Atividade","Texto",""
"Bloco de tempo 3","Horário",""
"Bloco de tempo 3 - Atividade","Texto",""
"Bloco de tempo 4","Horário",""
"Bloco de tempo 4 - Atividade","Texto",""
"Bloco de tempo 5","Horário",""
"Bloco de tempo 5 - Atividade","Texto",""
"Autocuidado","Lista",""
"Vitórias do dia","Notas",""
